dataset,decision_tree,bagging,random_forest,gradient_boosting
c300_d100,0.6570048309178744,0.6195652173913043,0.5232558139534884,0.8374384236453202
c300_d1000,0.6558375634517767,0.7667900581702802,0.6222719641857862,0.9774730656219393
c300_d5000,0.7517037941206388,0.8805704099821747,0.7928294573643411,0.9875567845151096
c500_d100,0.7009345794392523,0.6451612903225806,0.6071428571428571,0.8682926829268293
c500_d1000,0.6798614547253835,0.8120770432066632,0.75,0.9841584158415841
c500_d5000,0.7996567178411367,0.8690946930280957,0.8581456566247441,0.9898029898029898
c1000_d100,0.7317073170731707,0.8222222222222222,0.8497409326424871,0.9253731343283582
c1000_d1000,0.7965616045845272,0.9149261334691798,0.9193790686029043,0.9880478087649402
c1000_d5000,0.8567590904729924,0.9342947090484411,0.9619575985734099,0.9958083832335329
c1500_d100,0.8390243902439024,0.9751243781094527,0.9696969696969697,0.99
c1500_d1000,0.913894324853229,0.9758793969849247,0.98842476094615,0.997
c1500_d5000,0.9476181063451274,0.983227879883499,0.9947026486756622,0.9995001499550135
c1800_d100,0.9504950495049505,0.97,0.9949748743718593,0.99
c1800_d1000,0.9733727810650887,0.9909638554216867,0.996993987975952,0.998003992015968
c1800_d5000,0.9864568810993826,0.996293699288791,0.9997000299970003,0.9998
